Tweet,inclusive_rate,explanation
rt : ..poi  giovanni leone neo pres della repubblica si portò il gotha della  al quirinale.. ,0.0,[]
rt :  ma tanto tanto eh? insomma con queste sanzioni noi ci siamo trovati un aumento del gas del 418% (perdendo la…,0.0,[]
rt :  mandaglielo... ,0.0,[]
rt : nuove   per privar la  dei  necessari per raggiungere ambizioni strategiche —  alto rap…,0.0,[]
rt : quanti di voi hanno mai sentito parlare della  e il suo ruolo nel rendere l'italia la piattafo…,0.0,[]
mps azioni: rumor su possibile ricambio al vertice ,0.0,[]
rt :  vittorio emanuele di  era membro loggia  e di montecarlo trafficante d'armi con la libia era sosp…,-0.25,"[""Utilizzare un articolo davanti ad un nome femminile diminuisce l'inclusività!""]"
rt :  il capo loggia   scrive all'on giovanni  chevisto la confusione politica hanno deliberato d…,0.0,[]
rt :  appunto  su somme versate da  sui conti cifrati di  per finanziare  …,0.0,[]
  e della sua sete… ,0.0,[]
nei bar di fara san martino non si parla d’altro che dei fy…    ,0.0,[]
  i pastifici sono tranquilli?,0.0,[]
   si saranno confusi con l’omonimo  consigliori di  saveria benedetta palazzolo compagna di zu binnu,0.0,[]
rt : un paese del g8 non sa dove sta il suo premier e tutti fischiettano.,0.0,[]
"rt : ""quelli che non vogliono ragionare sono bigotti quelli che non possono sono degli sciocchi e quelli che non osano son…",0.0,[]
 è tra questi?  :  ,0.0,[]
rt : ma dove?! lo conosceva mio papà questo ha la terza media ed è stato bocciato due volte all'esame di guida. ma era tanto a…,0.0,[]
rt : riassuntino l'amico di bettini ha abboccato all'amo ed è stato silurato dall'amico di franceschini. in sostanza: una guer…,0.0,[]
rt : la francia manda il ministro dello sport alle olimpiadi di pechino. bye bye us,-0.25,"[""Utilizzare un articolo davanti ad un nome femminile diminuisce l'inclusività!""]"
rt : un premier costretto a nascondersi dalla popolazione forse dovrebbe fare alcune considerazioni. e dovremmo farle anche n…,0.0,[]
rt : mio papà si svegliava alle 5 di mattina e faceva 5 chilometri a piedi per andare a prendere il treno e studiare come prende…,0.0,[]
  perché no?   ,0.0,[]
  l’ha assicurato lui  ,0.0,[]
rt : lorenzo guerini: se la  lo chiede l'italia è pronta a fare la sua parte in . non è una nota ma la copia de…,0.0,[]
  3 profili scopus (non riconciliati)  gli altri 2 qui  ,0.0,[]
rt : russia - lavrov il ministro degli esteri gigioneggia. ieri durante l'intervista a quattro radio della capitale. domand…,0.0,[]
rt : justin trudeau è ufficialmente il primo leader occidentale che fugge dalle proteste nate per le restrizioni sanitarie co…,0.0,[]
rt : a coloro che lottano per convinzione o necessità per il diritto alla salute diciamo di tenersi liberi a marzo. di conve…,0.0,[]
rt : quello di non dover supplire ogni giorno ad uno stato di austerità e emergenza permanente combattendo ogni giorno per la…,0.0,[]
rt : non esiste a targhe alterne a corrente alternata o a ondate social. i lavoratori della sanità la nostra famiglia allarga…,-0.25,"[""Utilizzare un nome collettivo maschile diminuisce l'inclusività!""]"
rt : probabilmente contribuisce a squalificare la stessa discussione sui vaccini. a farla perdere di credibilità. e di questo n…,0.0,[]
rt : fosse stato riversato contro i tagli alla sanità forse sarebbe andato veramente tutto bene. e il fatto che invece lo stes…,0.0,[]
rt : oggi è anche sciopero generale del comparto sanità. forse il nostro sarà un punto di vista troppo plebeo ma se lo stesso…,0.0,[]
rt : microcameo 2/2/22. “non è cambiato nulla”. “cambierà tutto”. mattarella regnerà per 7 anni draghi andrà all’estero. esc…,0.0,[]
rt : salvini venerdì pomeriggio incontra il premier in un appartamento privato nella zona romana di piazza fiume. il leader…,0.0,[]
rt :  il premier canadese justin  è fuggito da  con la famiglia diretto in una località segreta..   htt…,0.0,[]
rt : partito dementi   questi sono quelli che vogliono il tso per gli italiani ...…,0.0,[]
rt : secondo me quando mentana capisce che le altre reti gli applausi li avevano fa un '48  …,0.0,[]
rt : la rielezione di mattarella fa gioire tanti anche alleati che appartengono a partiti spesso tra di loro litigiosi. stasera…,0.0,[]
rt : signori: ecco la maggioranza.,0.0,[]
